City,State_Abbr,Salary
Willow Beach,AZ,58453
Window Rock,AZ,52408
Winkelman,AZ,52309
Winslow,AZ,52179
Wittmann,AZ,55938
Woodruff,AZ,52179
Yarnell,AZ,55938
Young,AZ,54860
Youngtown,AZ,56280
Yucca,AZ,58453
Yuma,AZ,58455
Texarkana,AR,51975
Adona,AR,52489
Alexander,AR,52934
Alicia,AR,53549
Alix,AR,48993
Alleene,AR,51493
Alma,AR,49265
Almyra,AR,50526
Alpena,AR,50521
Alpine,AR,51508
Altheimer,AR,50800
Altus,AR,49167
Amagon,AR,53549
Amity,AR,51508
Antoine,AR,51508
Arkadelphia,AR,50526
Arkansas City,AR,50184
Armorel,AR,53549
Ash Flat,AR,53524
Ashdown,AR,51493
Atkins,AR,52489
Aubrey,AR,53549
Augusta,AR,52489
Austin,AR,52523
Avoca,AR,50555
Bald Knob,AR,52489
Banks,AR,50526
Barling,AR,49367
Barton,AR,53549
Bassett,AR,53549
Batesville,AR,52489
Bauxite,AR,52694
Bay,AR,53549
Bearden,AR,50526
Beaver,AR,50521
Bee Branch,AR,52489
Beebe,AR,52489
Beech Grove,AR,53549
Beedeville,AR,53549
Beirne,AR,50526
Bella Vista,AR,50521
Belleville,AR,48854
Ben Lomond,AR,51493
Benton,AR,51822
Bentonville,AR,50624
Bergman,AR,52528
Berryville,AR,50521
Bexar,AR,54535
Big Flat,AR,52489
Bigelow,AR,52489
Biggers,AR,53549
Biscoe,AR,52489
Bismarck,AR,51508
Black Oak,AR,53549
Black Rock,AR,53549
Blevins,AR,51250
Blue Mountain,AR,48854
Bluff City,AR,50526
Bluffton,AR,48854
Blytheville,AR,53549
Board Camp,AR,48854
Boles,AR,48854
Bonnerdale,AR,51508
Bono,AR,53549
Booneville,AR,48854
Bradford,AR,52489
Bradley,AR,51975
Branch,AR,48854
Brickeys,AR,53549
Briggsville,AR,48854
Brinkley,AR,52188
Brockwell,AR,53512
Brookland,AR,53549
Bryant,AR,52831
Buckner,AR,51975
Bull Shoals,AR,54535
Burdette,AR,53549
Cabot,AR,52490
Caddo Gap,AR,50623
Caldwell,AR,53549
Cale,AR,51250
Calico Rock,AR,53512
Calion,AR,51701
Camden,AR,50526
Camp,AR,54535
Canehill,AR,50761
Caraway,AR,53549
Carlisle,AR,51907
Carthage,AR,50612
Casa,AR,52489
Cash,AR,53549
Casscoe,AR,50526
Cave City,AR,53019
Cave Springs,AR,50863
Cecil,AR,49199
Cedarville,AR,49231
Center Ridge,AR,52489
Centerton,AR,50590
Centerville,AR,52489
Charleston,AR,48957
Charlotte,AR,53019
Cherokee Village,AR,53524
Cherry Valley,AR,53549
Chester,AR,49671
Chidester,AR,50526
Choctaw,AR,52489
Clarendon,AR,51508
Clarkedale,AR,53788
Clarkridge,AR,54535
Clarksville,AR,49688
Cleveland,AR,52489
Clinton,AR,52489
Coal Hill,AR,48854
College Station,AR,53002
Colt,AR,53549
Columbus,AR,51975
Combs,AR,50281
Compton,AR,50521
Concord,AR,52489
Conway,AR,52489
Cord,AR,53019
Corning,AR,53549
Cotter,AR,54535
Cotton Plant,AR,52489
Cove,AR,48854
Coy,AR,51444
Crawfordsville,AR,53761
Crocketts Bluff,AR,50526
Crossett,AR,51701
Crumrod,AR,50355
Curtis,AR,50526
Cushman,AR,52489
Damascus,AR,52489
Danville,AR,50672
Dardanelle,AR,52489
Datto,AR,53549
De Queen,AR,48854
De Valls Bluff,AR,52489
De Witt,AR,50526
Decatur,AR,50521
Deer,AR,50521
Delaplaine,AR,53549
Delaware,AR,48854
Delight,AR,51508
Dell,AR,53549
Dennard,AR,52489
Dermott,AR,50184
Des Arc,AR,52489
Desha,AR,52489
Diamond City,AR,54535
Diaz,AR,53549
Dierks,AR,48854
Doddridge,AR,51975
Dolph,AR,53512
Donaldson,AR,50526
Dover,AR,52489
Drasco,AR,52489
Driver,AR,53549
Dumas,AR,50526
Dyer,AR,49094
Dyess,AR,53549
Earle,AR,53549
Edgemont,AR,52489
Edmondson,AR,53815
Egypt,AR,53549
El Dorado,AR,51701
El Paso,AR,52489
Elaine,AR,51420
Elizabeth,AR,54535
Elkins,AR,51034
Elm Springs,AR,51000
Emerson,AR,51975
Emmet,AR,51250
England,AR,51577
Enola,AR,52489
Ethel,AR,50355
Etowah,AR,53549
Eudora,AR,50355
Eureka Springs,AR,50521
Evansville,AR,49780
Evening Shade,AR,52489
Everton,AR,50521
Fairfield Bay,AR,52489
Farmington,AR,51034
Fayetteville,AR,51034
Fifty Six,AR,52489
Fisher,AR,53549
Flippin,AR,54535
Floral,AR,52489
Fordyce,AR,50526
Foreman,AR,51493
Forrest City,AR,53549
Fort Smith,AR,49367
Fouke,AR,51975
Fountain Hill,AR,50184
Fox,AR,52489
Franklin,AR,53512
Frenchmans Bayou,AR,53655
Friendship,AR,51508
Fulton,AR,51975
Gamaliel,AR,54535
Garfield,AR,50521
Garland City,AR,51975
Garner,AR,52489
Gassville,AR,54535
Gateway,AR,50521
Genoa,AR,51975
Gentry,AR,50555
Gepp,AR,54535
Gilbert,AR,50521
Gillett,AR,50526
Gillham,AR,48854
Gilmore,AR,53628
Glencoe,AR,53512
Glenwood,AR,51508
Goodwin,AR,53549
Goshen,AR,51034
Gosnell,AR,53549
Gould,AR,50526
Grady,AR,50526
Grannis,AR,48854
Grapevine,AR,50868
Gravelly,AR,48854
Gravette,AR,50521
Green Forest,AR,50521
Greenbrier,AR,52489
Greenland,AR,51034
Greenway,AR,53549
Greenwood,AR,49196
Gregory,AR,52489
Griffithville,AR,52489
Grubbs,AR,53549
Guion,AR,52489
Gurdon,AR,50526
Guy,AR,52489
Hackett,AR,49265
Hagarville,AR,49688
Hamburg,AR,50184
Hampton,AR,50526
Hardy,AR,53524
Harrell,AR,50526
Harriet,AR,51505
Harrisburg,AR,53549
Harrison,AR,50521
Hartford,AR,48888
Hartman,AR,48854
Harvey,AR,48854
Hasty,AR,50521
Hatfield,AR,48854
Hattieville,AR,52489
Havana,AR,48854
Haynes,AR,53549
Hazen,AR,52162
Heber Springs,AR,52489
Hector,AR,52489
Helena,AR,53549
Henderson,AR,54535
Hensley,AR,52831
Hermitage,AR,50526
Heth,AR,53549
Hickory Plains,AR,52489
Hickory Ridge,AR,53549
Higden,AR,52489
Higginson,AR,52489
Hindsville,AR,50795
Hiwasse,AR,50521
Holly Grove,AR,51508
Hope,AR,51975
Horatio,AR,50613
Horseshoe Bend,AR,53512
Hot Springs National Park,AR,52489
Hot Springs Village,AR,52489
Houston,AR,52489
Hoxie,AR,53549
Hughes,AR,53549
Humnoke,AR,51404
Humphrey,AR,51121
Hunter,AR,53549
Huntington,AR,48957
Huntsville,AR,50590
Huttig,AR,51701
Ida,AR,52489
Imboden,AR,53549
Ivan,AR,50526
Jacksonport,AR,53019
Jacksonville,AR,52934
Jasper,AR,50521
Jefferson,AR,51039
Jersey,AR,51701
Jerusalem,AR,52489
Jessieville,AR,52489
Johnson,AR,51034
Joiner,AR,53549
Jones Mill,AR,51704
Jonesboro,AR,53549
Judsonia,AR,52489
Junction City,AR,51701
Keiser,AR,53549
Kensett,AR,52489
Keo,AR,52729
Kingsland,AR,50526
Kingston,AR,50521
Kirby,AR,51508
Knobel,AR,53549
Knoxville,AR,49688
La Grange,AR,53549
Lafe,AR,53549
Lake City,AR,53549
Lake Village,AR,50458
Lakeview,AR,54535
Lamar,AR,49688
Lambrook,AR,50526
Laneburg,AR,51250
Langley,AR,48854
Lavaca,AR,49231
Lawson,AR,51701
Leachville,AR,53549
Lead Hill,AR,54535
Leola,AR,50932
Lepanto,AR,53549
Leslie,AR,52489
Letona,AR,52489
Lewisville,AR,51975
Lexa,AR,53549
Light,AR,53549
Lincoln,AR,50761
Little Rock,AR,53002
Little Rock Air Force Base,AR,52968
Lockesburg,AR,50613
Locust Grove,AR,52489
London,AR,50621
Lonoke,AR,51972
Lonsdale,AR,51891
Louann,AR,51114
Lowell,AR,50897
Luxora,AR,53549
Lynn,AR,53549
Mabelvale,AR,52934
Madison,AR,53549
Magazine,AR,48854
